order,id,count,hate_speech,offensive_language,neither,class,labels,tweet_hashed
25,3663,3,2,1,0,0,2/1/2000,@###### shut up you stupid bitch
26,4573,3,3,0,0,0,3-0-0,@###### I don't hate that he blew up from 3005 like a hipster but I hate the faggots who say they love his music based off his worst +
27,17423,3,0,1,2,2,0-1-2,"RT @###### Joey Badass said ""Traded in my Nikes for a new mic, I guess it's safe to say he sold his soles for a new life"""
28,20449,3,3,0,0,0,3-0-0,RT @###### Fuck the Islamic State!! We will kill those cunts&#127468;&#127463;
29,5240,3,0,3,0,1,0-3-0,@###### lol bitch yo display name
30,22356,3,0,1,2,2,0-1-2,They took it there bro you know I'm civil. RT @###### @###### wait a minute! Lol. Don't get ghetto V!
31,11074,3,2,1,0,0,2/1/2000,I need to chat with @###### . Where dat nicca at? Lol
32,10753,3,1,2,0,1,1/2/2000,I hate that when I have assigned seats they sit me by the most annoying bitches in the whole class.
33,4234,3,1,2,0,1,1/2/2000,@###### #Sequester Den the fat colored girl chased me down day street while she swingin da table wit one arm... I wants my pay!!!
34,14069,3,0,1,2,2,0-1-2,Other Jihadi news #ISIS executed #Kuwait preacher Redha Lari coz he was..&#8220;too extreme&#8221; &amp; hampered reconciliation with Nusra with his fatwas
35,4839,3,2,0,1,0,2-0-1,@###### @###### @###### @###### Ahmed and retard mikey for special Olympic boxing
36,20882,3,2,1,0,0,2/1/2000,RT @###### @###### you're a fucking queer
37,20084,3,0,3,0,1,0-3-0,RT @###### I love me some down ass bitches.
38,14461,3,0,0,3,2,0-0-3,"RT @###### A bird doesn't sing because it has an answer, it sings because it has a song.MAYA ANGELOU

#poetry #writing"
39,8222,3,1,0,2,2,1-0-2,Bengals kicker trash.
40,15245,3,0,0,3,2,0-0-3,RT @###### Yo BCU band made UCF band look like trash
41,5315,3,0,2,1,1,0-2-1,@###### @###### &#128514;bitch you always hatin lmao
42,9682,3,0,0,3,2,0-0-3,Giants secondary lookin like trash
43,3253,3,0,1,2,2,0-1-2,@###### @###### khan has been facing nothing but trash since his L to Garcia
44,21092,3,0,3,0,1,0-3-0,Screaming money over hoes nigga you ain't fuck shit
45,20798,3,0,3,0,1,0-3-0,"RT @###### Don't be 32 on here and saying ""all my friends and everyone I know has a baby"". 
Well bitch. Life."
46,23009,3,0,0,3,2,0-0-3,We over here struggling with college and work and ice jj fish making money for being trash lol. What has this world come to.
47,4919,3,0,1,2,2,0-1-2,@###### pay your taxes teabaggers
48,23024,3,0,1,2,2,0-1-2,Weekend is here. What an amazing week this has been. Let's use this extended weekend to celebrate our successes my fellow queer folk.
49,14032,3,1,2,0,1,1/2/2000,Only white trash watch hockey.
50,11949,3,3,0,0,0,3-0-0,"If you kill all cops and cracker babies, what next?????? Black states, white states, and Latino states? Isn't that moving backwards?"
51,4766,3,0,1,2,2,0-1-2,@###### @###### your opinion plz. When election over will there be any improvement or will BO still be allowed to trash America?
52,24260,3,0,2,1,1,0-2-1,don't be surprised when I'm a bitch to you because you're always a dick towards me
53,22770,3,0,0,3,2,0-0-3,Twinkies are so unfilling. which is odd because they are filled
54,23325,3,0,2,1,1,0-2-1,Why are #teabaggers so interested in saving people who are Muslim? Does Syria have oil? #morningjoe
55,4035,3,0,2,1,1,0-2-1,@###### booty wop sided as hell
56,3400,3,1,2,0,1,1/2/2000,@###### dude fuck you faggot it's Friday or no go bitch I set the standards you make or break them bitch
57,18359,3,0,2,1,1,0-2-1,RT @###### These bitches is actors out here
58,2276,3,2,1,0,0,2/1/2000,2 hoes 1 dyke
59,9724,3,1,0,2,2,1-0-2,God people can be so mean. This Asian guy held the door for these girls and they said they were surprised he could see it with his slant eye
60,23974,3,0,3,0,1,0-3-0,Young bitches talk about their new man ALLLL DAY....as if anyone is really intrested in that shit lol
61,1812,3,0,0,3,2,0-0-3,&#8220;@###### @###### Sick of all the trash talk and cocky attitudes. #shutupandplay&#8221; Refs have to take control when needed
62,17849,3,0,1,2,2,0-1-2,RT @###### &#8220;@###### Moma said no pussy cats inside my dog house&#8221; that's what got bro nem locked inside the dog pound !!
63,23305,3,0,3,0,1,0-3-0,Who's a thottie? Yous a thottie! Who's a thottie? Yous a thottie! Yes YOU BITCH! Womp womp. &#128514;&#128514;&#128514; Lord save these parched hoes
64,8697,3,3,0,0,0,3-0-0,"Chill RT @###### If I ever become president Imma ban Henny from America..... For a Day, just to see you negroes panic. ""gotcha bitch"""
65,23335,3,1,2,0,1,1/2/2000,Why black girls gotta be thots? Ain't nobody bringing up the fat white hoe you fucked back in middle school. #LoveOurWomen
66,16324,3,0,0,3,2,0-0-3,RT @###### Could never date someone with yellow teeth&#128567;
67,4746,3,0,2,1,1,0-2-1,@###### @###### @###### @###### poor 5SOS has annoying ass cunts as fans. They don't care about you at all you know.
68,21950,3,0,3,0,1,0-3-0,"The DMV system was recently restructured on the narrative outline of Dante's inferno. Only edit, Dante is a fat pissed-off cunt."
69,1305,3,0,0,3,2,0-0-3,&#8220;@###### Lakers really trash.&#8221;&#128686;
70,1334,3,0,2,1,1,0-2-1,"&#8220;@###### A lot of women who claim they are yellow are actually red, color blind mother fuckas&#8221; I'm yellow tho &#128129;&#127773;"
71,1067,3,0,2,1,1,0-2-1,&#128557;&#128557;&#128557; Foh RT @###### #IDGT RT @###### Good pussy don't neva get tired!!!
72,5365,3,0,2,1,1,0-2-1,@###### way other hoes boo
73,8021,3,0,0,3,2,0-0-3,Apple need to add some colored emoji
74,20265,3,0,1,2,2,0-1-2,RT @###### Charlie Sheen is engaged to a porn star. I can't be the only one thinking she can do a lot better.
75,18222,3,2,1,0,0,2/1/2000,RT @###### The reason you called Jesus a monkey is because you knew he was not your color #Farrakhan#TheTime
76,6716,3,1,0,2,2,1-0-2,"@###### @###### Kris, griff is too ghetto to know anything about sperrys or vans"
77,14002,3,0,2,1,1,0-2-1,Only bitches talk shit
78,15803,3,0,1,2,2,0-1-2,RT @###### @###### @###### @###### @###### Ik vraag me al maanden af hoe de NL pers zich als een stel hoeren is gaan ge&#8230;
79,12272,3,0,2,1,1,0-2-1,It's only 9:12 AM here but I'm about to pour up some pineapple ciroc &amp; blast this Future mixtape at maximum levels because bitch Im in Vegas
80,8537,3,0,1,2,2,0-1-2,Can I double stuff your Oreo?
81,24634,3,0,0,3,2,0-0-3,kit kats trash
82,15728,3,0,1,2,2,0-1-2,RT @###### Only retards and dads roll Lawful Good.
83,24261,3,0,2,1,1,0-2-1,don't bitch about my attitude because you're the reason I have one
84,10885,3,0,1,2,2,0-1-2,I just want some Oreos &amp; milk honestly. Just stop by the store &amp; pick up some on your way back lol
85,21709,3,0,0,3,2,0-0-3,Sweet! Just found that box of Twinkies I bought last year for $225.00! I bet its at least tripled by now! Such a no-brainer buy!
86,3895,3,0,3,0,1,0-3-0,@###### @###### see bitch this is why you have no friends
87,10239,3,0,2,1,1,0-2-1,I LISTEN TO BASED GOD ONE TIME NOW IM BASED. No bitch stfu. Your like 13 stay outa the based game.
88,6054,3,3,0,0,0,3-0-0,@###### @###### hire colored folk? Only work half da day and throw da mail in da sewer if we ain't done
89,143,3,0,2,1,1,0-2-1,"""@###### I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
90,6226,3,1,0,2,2,1-0-2,@###### @###### @###### lax gun laws? Ur retarded. There's murder there bcuz no one can defend themselves. Only crooks have guns there
91,11478,3,0,0,3,2,0-0-3,I'm Hun-gry
92,4200,3,1,2,0,1,1/2/2000,@###### &#128539;&#128539;&#128539; yaaaas bitch
93,16038,3,0,1,2,2,0-1-2,RT @###### when other girls wear beanies they look cute &amp; stylish but when i wear them i look like a member of a drug cartel who sel&#8230;
94,16713,3,1,2,0,1,1/2/2000,RT @###### I want someone I can call my own without another bitch staking claim on him simultaneously.
95,2719,3,2,1,0,0,2/1/2000,@###### @###### @###### yea u stupid faggot. I'm not leaving till like 5-6pm. Want a ride?
96,19949,3,2,1,0,0,2/1/2000,RT @###### More queer lady Templars. That's my point.
97,21970,3,2,1,0,0,2/1/2000,The South is full of white trash. The Midwest is full of white trash. The West Coast if full of white trash.
98,2634,3,1,2,0,1,1/2/2000,@###### niggah follow me back &#128529;
99,21428,3,0,2,1,1,0-2-1,"So people here donate plasma to feed their drug addiction... I donate because I get money, and I save lives.
Whaddup bitches &#128129;"
100,14083,3,0,1,2,2,0-1-2,"PSA: Reduced Fat Oreos are waxy and don't soften properly when dunked in milk. STAY AWAY FROM THEM, THEY'RE UNNATURAL! #DietSchmiet @######"
101,19969,3,0,0,3,2,0-0-3,RT @###### S/o all my real fans who can wait and not want me to put out trash like other rappers #signedtothestreets2 #iGO
102,8915,3,2,1,0,0,2/1/2000,"Dear Utah Polynesians: Again, stop acting black and speaking ghetto. Speak FOB, you ain't no ghetto niggaz."
103,11154,3,0,1,2,2,0-1-2,I see u jigga!!!! Hillary $wankin
104,2899,3,2,1,0,0,2/1/2000,@###### chase you God damn faggot &#128514;&#128557;&#128514;&#128557;
105,13402,3,1,2,0,1,1/2/2000,My mom's a fucking cunt dude.
106,3314,3,0,0,3,2,0-0-3,@###### that's true in some ways. Gaming is very broad now a days tho. Everyone is a gamer with candy crush and angry birds
107,18403,3,0,3,0,1,0-3-0,RT @###### @###### @###### bye bitch
108,14952,3,0,3,0,1,0-3-0,"RT @###### I be like wassup bitch?!&#175;\( &#728;o&#728;)/&#175;
 ) )
 | \
 | |_
""huh? nothing""

 that's what I thought hoe.
(&#728;o&#728; )
 &lt;) &#8230;"
109,10228,3,0,3,0,1,0-3-0,Hungry then a hoe
110,11683,3,3,0,0,0,3-0-0,I'm so sick of u niggers...
111,19032,3,0,1,2,2,0-1-2,RT @###### *spits out animal cracker*This doesn't even taste like hippo.
112,15121,3,1,2,0,1,1/2/2000,RT @###### I hate when niggas be slobin all on the blunt like they eatin pussy &amp; have the nerve to try &amp; pass it. I'm good nigga I'&#8230;
113,14449,3,0,0,3,2,0-0-3,RT @###### Great job by the Yankees giving Brian Cashman a new contract. The haters are just wrong. CC: @######
114,8921,3,1,0,2,2,1-0-2,Debating feminism with a gay professor uninformed girls and low IQ rednecks is not my idea of a fun Wednesday night
115,23158,3,1,2,0,1,1/2/2000,When a niggah think he gon come in-between me and my bestf &#128514;&#128514;&#128514;&#128514; I'll fuck you and her up &#128514;&#128076;
116,12850,3,0,1,2,2,0-1-2,Lmaoooooo @ Supreme being trash. Guess Bape is trash to huh?
117,14513,3,0,2,1,1,0-2-1,RT @###### You're such a fake bitch hahaha
118,11032,3,0,3,0,1,0-3-0,I mean we can get married. As long we can sign a prenuptial agreement. It's 2014 bitch.
119,20188,3,1,2,0,1,1/2/2000,RT @###### You know a girl is a hoe if her Instagram isn't private
120,9860,3,0,1,2,2,0-1-2,HBA trash
121,6006,3,3,0,0,0,3-0-0,@###### thanks for ignoring my texts fag
122,9217,3,0,3,0,1,0-3-0,Ever leave me around yo bitch and ima get her stoned
123,19526,3,0,1,2,2,0-1-2,RT @###### #vermontgirlsbelike my hick accent comes out when I get around my family #vermontproblems @######
124,18230,3,0,3,0,1,0-3-0,"RT @###### ain't worth it, your pussy smelled like reused soap anyways&#128056;&#9749;&#65039;"
125,21942,3,2,1,0,0,2/1/2000,The #midwest of the US is white trash.
126,700,3,2,0,1,0,2-0-1,#DTLA is trash because of non-Europeans are allowed to live there.
127,20714,3,3,0,0,0,3-0-0,"RT @###### 1, 2, 3, 4... how many niggers are in my store, I knooooooow your stealing! &#128514;&#128514;&#128514;"
128,10401,3,0,0,3,2,0-0-3,I can't play flappy bird. It makes me angry.
129,24230,3,0,2,1,1,0-2-1,"damn I have nothing to tweet,nothing to complain or bitch about): lol"
130,18455,3,0,0,3,2,0-0-3,RT @###### If life hands you a hot potato try throwing it at two birds.
131,22135,3,0,3,0,1,0-3-0,Then this bitch singing sounds like a horse being choked
132,11906,3,0,1,2,2,0-1-2,If you a hoe ima treat you like one just like if you're a good girl ima treat you like one. I don't discriminate
133,4067,3,0,1,2,2,0-1-2,@###### It's retarded. Ignore the harlem shake fad and hope it goes away soon.
134,4960,3,0,0,3,2,0-0-3,@###### @###### I'm not a liberal &amp; I support changing the name. It transcends standard political grandstanding.
135,23431,3,0,0,3,2,0-0-3,"Without serge, the bird chirps. The sun burns, the grass grows, the world turns. The moon glows, the river flows. But I die without serge."
136,20403,3,2,1,0,0,2/1/2000,RT @###### Too many faggots on here that think they can address me by my first name
137,5076,3,3,0,0,0,3-0-0,"@###### Aww y u so mad tho, a successful man LMFAO, hut hugging as faggot."
138,20191,3,0,1,2,2,0-1-2,"RT @###### Remember in 2001 when the Yankees were in Boston and the crowd was cheering USA instead of ""Yankees suck"" I love baseba&#8230;"
139,5427,3,2,1,0,0,2/1/2000,@###### fags
140,592,3,2,1,0,0,2/1/2000,"""We're out here, and we're queer!"""" 2, 4, 6, hut! We like it in our butt!"""
141,17226,3,0,3,0,1,0-3-0,RT @###### Her pussy A1 if she can quote over 15 boosie quotes
142,17097,3,0,3,0,1,0-3-0,RT @###### Hoes love exposing other hoes on twitter
143,4447,3,0,2,1,1,0-2-1,@###### hey hoe
144,2701,3,1,0,2,2,1-0-2,"@###### He promised to stand with the muzzies, so..."
145,12135,3,0,1,2,2,0-1-2,Ion kno wat kinda spring clothes imma get my yung nicca dis year we ain't doin da polo dis year gotta offset em wit sumthin else
146,3877,3,0,1,2,2,0-1-2,@###### lmao girlllaaaa I don't like em chunky anymore.&#128514;&#128514;&#128514;&#128514;&#128567;
147,14698,3,0,0,3,2,0-0-3,"RT @###### #Sagittarius can be compassionate towards other people when they want to be, especially towards the ones they care abo&#8230;"
148,17878,3,0,0,3,2,0-0-3,"RT @###### Can't wait for the @###### to sweep the Cardinals tonight on @###### ! No matter how bad the cubs are, we're gonna beat the bird&#8230;"
149,14400,3,0,1,2,2,0-1-2,RT @###### Bron pregame speeches be so trash though lmao
150,12898,3,2,1,0,0,2/1/2000,Lol Nicca dime game got soo much clout niccas goin to da store to buy sum dice
151,1226,3,0,1,2,2,0-1-2,&#8220;@###### here&#8217;s to all the kids who have never found their name on anything in a souvenir store&#8221; thanks mom for the ghetto name.
152,7067,3,0,0,3,2,0-0-3,"@###### @###### @###### btw, genocide isn't war. The people of Gaza are no more combatants than the people of the Warsaw ghetto."
153,21414,3,1,0,2,2,1-0-2,So many weird people in the ghetto at this time.
154,18633,3,0,3,0,1,0-3-0,RT @###### &#8220;@###### My dog is gonna be a bitch magnet for sure &#128076;&#8221;no&#9995;
155,3100,3,0,0,3,2,0-0-3,@###### I'll show up and chug a beer or 8
156,22546,3,0,0,3,2,0-0-3,This is so much fun! &#128070;&#128588; #1UBB #1ndiana #hoosiers #hoosierdaddy
157,5944,3,1,2,0,1,1/2/2000,@###### &#128680;&#128680;&#128680;&#128680;bad bitch w dreads alert
158,24166,3,0,3,0,1,0-3-0,bitches love Sosa so I guess I'll wear Sammy Sosa &#128527;&#128514;
159,3476,3,0,1,2,2,0-1-2,@###### Well he canonically plays the troll equivalent of Pokemon... *throws the new Fairy type at him*
160,2507,3,3,0,0,0,3-0-0,@###### @###### @###### they are wrong you are a nigger always causung mischief among ur own people
161,9311,3,3,0,0,0,3-0-0,"Fat ass inbred rednecks like Paula Deen are breed that are going extinct. I mean look at that woman, I would hate to be her scale."
162,15957,3,0,2,1,1,0-2-1,RT @###### These hoes turn into contortionist just so u can see their ass &amp; their smile in the same picture. Smh! It's hard work thir&#8230;
163,5959,3,0,2,1,1,0-2-1,@###### My knee won't let me wander around much so I just make a few trips and look at the fat girls-- redneck porn--Wal-Mart
164,8077,3,0,0,3,2,0-0-3,Average is basic and basic is trash &#128514;&#128514;
165,18151,3,0,0,3,2,0-0-3,RT @###### Soulja boy trash now but I'm not gonna act like I never cranked that superman.
166,574,3,2,1,0,0,2/1/2000,"""These sour apple bitter bitches, I'm not fuckin wit em"""
167,5014,3,0,0,3,2,0-0-3,@###### @###### The Moors used to give kids free lunch in the Bronx when I was a kid. Glad to see they are still doing good.
168,1687,3,0,3,0,1,0-3-0,"&#8220;@###### I be laughing when my ex be tryna stunt, bitch you forgot I went with you I know what you got &amp; don't got &#128514;&#128514;&#8221;"
169,17730,3,2,1,0,0,2/1/2000,"RT @###### Stop flattering yourself, bitch. The only fan you have is on your ceiling."
170,20759,3,1,2,0,1,1/2/2000,RT @###### niggas ain't shit but hoes with dicks
171,22668,3,0,2,1,1,0-2-1,Tired of these butthurt @###### commercials. Ya phones trash b.. We don't want em
172,15533,3,2,1,0,0,2/1/2000,RT @###### Don't watch me you beta watch your bitch nigga!
173,4069,3,2,1,0,0,2/1/2000,"@###### Yeah! Me too. My people, the women, laff at the set apart men... they love the real niggas or niggers."
174,14539,3,2,1,0,0,2/1/2000,RT @###### I hate trailer trash &#128567;
175,24402,3,0,3,0,1,0-3-0,he said it's a black bitch &#128561;&#128552;&#128533;
176,10281,3,2,1,0,0,2/1/2000,I already know you trash if being tatted is on the list of things you want in a nigga..
177,13428,3,2,1,0,0,2/1/2000,My nig jus said ain't nuttin worse den a fat loud hoe.tru fuckin story
178,14990,3,1,2,0,1,1/2/2000,RT @###### Beyonc&#233; seems like a bitch
179,22297,3,0,3,0,1,0-3-0,These niggas cars be $800 and they have the nerve to put some 2500 rims and some speakers in the bitch
180,2352,3,0,1,2,2,0-1-2,@###### #BooksOfGodWidom Proverbs 1:26 I also will laugh at your calamity; I will mock when your fear cometh;
181,24332,3,3,0,0,0,3-0-0,"fuck ray rice ,someone crack that bitch"
182,8681,3,1,2,0,1,1/2/2000,Cheater cheater pumpkin eater where'd you find that no good white trash hoe. #trashy #sloots
183,18945,3,2,1,0,0,2/1/2000,RT @###### You got niggas &amp; I got bitches but I want you... &#128149;&#127926;
184,19124,3,1,2,0,1,1/2/2000,RT @###### wow well aren't you just a fucking cunt :)
185,20957,3,0,1,2,2,0-1-2,Regular joes rockin tha boat that's us redneck yacht clubbb&#9728;&#127926;
186,6296,3,0,2,1,1,0-2-1,@###### @###### @###### @###### the nerve of these hoes
187,7798,3,1,0,2,2,1-0-2,All da white folk off twitter yet? Da colored tweet at night while y'all sleep cuz you gotta woyke tomorrow.
188,8031,3,0,3,0,1,0-3-0,Arguing over a bitch with a glued on butt
189,14135,3,3,0,0,0,3-0-0,"People who enjoy shows like @###### and @###### are douche bags. Usually white trash, too."
190,5359,3,0,1,2,2,0-1-2,@###### go away already @######
191,6522,3,0,2,1,1,0-2-1,@###### just look for the realest niggah on rosecrans that be me lol
192,23068,3,1,2,0,1,1/2/2000,What a sniveling little cunt. I would be embarrassed for him but I cant stand the guy. @###### @######
193,3458,3,0,2,1,1,0-2-1,@###### he's am has no clue #heeb
194,12570,3,1,2,0,1,1/2/2000,Kobe Bryant is such a bitch. Grow up pussy.
195,2082,3,1,2,0,1,1/2/2000,"' I ain't trippen cause I like her anyways , she got a niggah and I got a girl but anyways , yea anyways &#1041196;"
196,2262,3,0,1,2,2,0-1-2,1300 for the eggs sunny side nicca .. @######
197,20301,3,0,3,0,1,0-3-0,"RT @###### &#8220;@###### That's fucked up when a bitch you fw , down talk you.. Then with hoes they claim they don't fw &#128080; funny.&#8221;&#8252;&#65039;&#8252;&#65039;&#8230;"
198,22957,3,2,1,0,0,2/1/2000,Washing my coon hair
199,7420,3,0,1,2,2,0-1-2,"@###### Sorry I missed that, you mean where I live is disgusting or that that muzzies in the UK r disgusting, or both? Have a great Sun."
200,11804,3,0,3,0,1,0-3-0,"If I wore a tutu, no bitch would want me &#128514;&#128514; that's what our dog is gonna be telling himself everyday &#128529;"
201,18685,3,1,2,0,1,1/2/2000,"RT @###### &amp; it's sad cause niggas will have a good girl &amp; do her wrong, it's hard finding a good bitch out here forreal."
202,3999,3,0,0,3,2,0-0-3,@###### Charlie Day?
203,8952,3,2,1,0,0,2/1/2000,Devin Hester's a bitch
204,14061,3,0,0,3,2,0-0-3,Oreo milkshakes will forever remind me of @######
205,12679,3,1,0,2,2,1-0-2,Let this white boy be ghetto&#127773;
206,5716,3,3,0,0,0,3-0-0,@###### your a fucking queer faggot bitch
207,4817,3,1,2,0,1,1/2/2000,@###### doubt it cause a bitch aint nothing but a nigga downfall
208,5979,3,2,1,0,0,2/1/2000,@###### Yes you do retard.
209,20120,3,2,1,0,0,2/1/2000,"RT @###### realest tweet i seen today RT @###### &#8230;. Dyke bitches are rehab for hoes.And once im healed,back to the dick I go"
210,528,3,2,1,0,0,2/1/2000,"""Let's kill cracker babies!"". WTF did I just hear???????? WOW."
211,14123,3,0,1,2,2,0-1-2,People be so angry tonight on dis here tweeter. It hard for a colored man to see all dis anger. Like bein in a waffle house in Mississippi
212,2479,3,0,1,2,2,0-1-2,@###### I'm the trash
213,21830,3,0,3,0,1,0-3-0,That bitch got 5 million boyfriends
214,22352,3,2,1,0,0,2/1/2000,They slut for me they kill for me they steal for me and of course it'll be yo cash and I'll murder that bitch send the body back to yo ass
215,22765,3,0,2,1,1,0-2-1,Twatch sounds like twat.
216,20196,3,0,2,1,1,0-2-1,"RT @###### Big dreams, cause that small goal shit is for the birds."
217,18060,3,0,0,3,2,0-0-3,"RT @###### Almost 83% of children in Balochistan have never been to school, followed by 80% in Sindh, 75% in KP and 60% in Punjab. #&#8230;"
218,9120,3,1,0,2,2,1-0-2,"Dude was talmbout ""I don't know why everyone hates Nickelback!"" Because they're trash, that's why."
219,3657,3,0,2,1,1,0-2-1,@###### teabaggers are anti American. Hows it feel to hate your country?
220,5907,3,1,0,2,2,1-0-2,@###### hmu negro
221,23072,3,0,0,3,2,0-0-3,"What an amazing, proud day it was today for @###### and #blockheads! Time for bed! Good knight!"
222,13747,3,1,2,0,1,1/2/2000,Nobody cares you fucking fag damn you bring bitches water even though youre thirsty as fuck &#128514;&#128514;&#128514; #fucknigga
223,19803,3,0,3,0,1,0-3-0,"RT @###### your still on the side hoe , stfu"
224,7229,3,1,0,2,2,1-0-2,"@###### You speak colored too?
I thinks I be in love"
225,2885,3,3,0,0,0,3-0-0,@###### fuck outta here and go put some more trash ass ink on your faggot ass self pussy
226,3454,3,0,0,3,2,0-0-3,@###### lemme guess you wore the hilly hicks sweats/leggings &#128514;&#128514;&#127874;&#127856;&#128079;&#127825;
227,5905,3,1,2,0,1,1/2/2000,@###### &#128553;&#128553;&#128514;&#128514; nigga doing the duggy on dem dead hoes lol
228,22141,3,0,2,1,1,0-2-1,There are some real life hoes on IG. Crazy.
229,936,3,1,0,2,2,1-0-2,"#teabagger state like mississippi opposed to minimum wage, child labor laws, unions, is pro-scab, sweatshop work - pretty much #SLAVERY."
230,11891,3,1,2,0,1,1/2/2000,If u expect me to stop playin with niggas But u playin widd bitches I can't deal
231,22592,3,2,0,1,0,2-0-1,This nigglet &#10084;&#65039;
232,18211,3,0,2,1,1,0-2-1,"RT @###### What type of eye make-up do redneck women use?
SCARA."
233,6768,3,1,2,0,1,1/2/2000,@###### you a bitch tho I know for sure I'm not. You'd get your ass beat by any of my bitches that's fact &#128514;&#128514;
234,3578,3,0,3,0,1,0-3-0,@###### when bitches get inches they be like.
235,20089,3,0,2,1,1,0-2-1,RT @###### Like bitch. You already know the answer. It's all for bri #Duh
236,24355,3,2,1,0,0,2/1/2000,go get left in a hot car and die bitch
237,6048,3,1,2,0,1,1/2/2000,@###### pussy
238,6821,3,0,3,0,1,0-3-0,@###### @###### @###### someone needs to give these bitches a gatoraide or ten
239,2343,3,0,3,0,1,0-3-0,@###### @###### bitch you gross as fuck touchin them saggy titties
240,8518,3,0,3,0,1,0-3-0,"Call me a dumb bitch but ion even know wtf ""Ebola"" is &#9995;&#128514;"
241,4525,3,0,1,2,2,0-1-2,@###### nah some honkey lookin dude at chr
242,4345,3,2,1,0,0,2/1/2000,@###### @###### lmao nigga shoulda said I would be balless bc dat cold bitch wont stop blowin me#swaagg
243,18604,3,0,3,0,1,0-3-0,RT @###### &#128557;&#128557;&#128557;&#128514;&#128514;RT @###### Can you imagine Tryn yo hardest to stop a bitch frm slutin and still comin up unsuccessful
244,12797,3,3,0,0,0,3-0-0,Lmao RT @###### If u live wit ya girl and u do dishes u a faggot
245,14868,3,1,2,0,1,1/2/2000,"RT @###### @###### @###### this cunt is still talking!? Holy fuck, can you just get breast cancer already"
246,14182,3,0,2,1,1,0-2-1,"Picture time outside of metro, fucking fags"
247,6859,3,1,2,0,1,1/2/2000,@###### drive you nigger
248,13266,3,0,2,1,1,0-2-1,My True life episode comes on later on tonight at 8pm central time. True Life: I wanna be a tranny.
249,6812,3,3,0,0,0,3-0-0,@###### gayer then 2 faggots in bed together&#128129;
250,22116,3,2,1,0,0,2/1/2000,Them queer ass shorts Rabchenko got on
251,22960,3,1,2,0,1,1/2/2000,"Watch ima hit that hoe later on this summer, finna be the best/most livestock party of 2014!!!"
252,24156,3,1,2,0,1,1/2/2000,bitches be hating &#128514;&#128557;
253,7380,3,2,1,0,0,2/1/2000,@###### your dad is genuine happy guy because his kids aren't niggers though &#128532; jimmy is my nigga 5eva
254,9244,3,0,2,1,1,0-2-1,Every time my mom calls me it's to bitch at me about something lol
255,4413,3,0,0,3,2,0-0-3,@###### If they trash in yr 3 or 4 he'll waive it lol
